Symbol,Name,Sector,Market Cap
MMM,3M Company,Industrials,Large Cap
AOS,A.O. Smith Corp,Industrials,Large Cap
ABT,Abbott Laboratories,Health Care,Large Cap
ABBV,AbbVie Inc.,Health Care,Large Cap
ABMD,Abiomed,Health Care,Large Cap
ACN,Accenture,Information Technology,Large Cap
ATVI,Activision Blizzard,Communication Services,Large Cap
ADBE,Adobe Inc.,Information Technology,Large Cap
AAP,Advance Auto Parts,Consumer Discretionary,Large Cap
AMD,Advanced Micro Devices,Information Technology,Large Cap
AES,AES Corp,Utilities,Large Cap
AFL,Aflac,Financials,Large Cap
A,Agilent Technologies,Health Care,Large Cap
APD,Air Products & Chemicals,Materials,Large Cap
AKAM,Akamai Technologies,Information Technology,Large Cap
ALK,Alaska Air Group,Industrials,Large Cap
ALB,Albemarle Corporation,Materials,Large Cap
ARE,Alexandria Real Estate Equities,Real Estate,Large Cap
ALXN,Alexion Pharmaceuticals,Health Care,Large Cap
ALGN,Align Technology,Health Care,Large Cap
ALLE,Allegion,Industrials,Large Cap
LNT,Alliant Energy,Utilities,Large Cap
ALL,Allstate Corp,Financials,Large Cap
GOOGL,Alphabet Inc. (Class A),Communication Services,Large Cap
GOOG,Alphabet Inc. (Class C),Communication Services,Large Cap
MO,Altria Group Inc,Consumer Staples,Large Cap
AMZN,Amazon.com Inc.,Consumer Discretionary,Large Cap
AMCR,Amcor plc,Materials,Large Cap
AEE,Ameren Corp,Utilities,Large Cap
AAL,American Airlines Group,Industrials,Large Cap
AEP,American Electric Power,Utilities,Large Cap
AXP,American Express,Financials,Large Cap
AIG,American International Group,Financials,Large Cap
AMT,American Tower Corp.,Real Estate,Large Cap
AWK,American Water Works,Utilities,Large Cap
AMP,Ameriprise Financial,Financials,Large Cap
ABC,AmerisourceBergen,Health Care,Large Cap
AME,Ametek,Industrials,Large Cap
AMGN,Amgen Inc.,Health Care,Large Cap
APH,Amphenol Corp,Information Technology,Large Cap
ADI,Analog Devices Inc.,Information Technology,Large Cap
ANSS,ANSYS Inc.,Information Technology,Large Cap
ANTM,Anthem,Health Care,Large Cap
AON,Aon plc,Financials,Large Cap
APA,APA Corporation,Energy,Large Cap
AAPL,Apple Inc.,Information Technology,Large Cap
AMAT,Applied Materials Inc.,Information Technology,Large Cap
APTV,Aptiv PLC,Consumer Discretionary,Large Cap
ADM,Archer-Daniels-Midland Co,Consumer Staples,Large Cap
ANET,Arista Networks,Information Technology,Large Cap
AJG,Arthur J. Gallagher & Co.,Financials,Large Cap
AIZ,Assurant,Financials,Large Cap
T,AT&T Inc.,Communication Services,Large Cap
ATO,Atmos Energy,Utilities,Large Cap
ADSK,Autodesk Inc.,Information Technology,Large Cap
ADP,Automatic Data Processing,Information Technology,Large Cap
AZO,AutoZone Inc,Consumer Discretionary,Large Cap
AVB,AvalonBay Communities,Real Estate,Large Cap
AVY,Avery Dennison Corp,Materials,Large Cap
BKR,Baker Hughes Co,Energy,Large Cap
BLL,Ball Corp,Materials,Large Cap
BAC,Bank of America Corp,Financials,Large Cap
BAX,Baxter International Inc.,Health Care,Large Cap
BDX,Becton Dickinson,Health Care,Large Cap
BRK.B,Berkshire Hathaway,Financials,Large Cap
BBY,Best Buy Co. Inc.,Consumer Discretionary,Large Cap
BIO,Bio-Rad Laboratories,Health Care,Large Cap
BIIB,Biogen Inc.,Health Care,Large Cap
BLK,BlackRock,Financials,Large Cap
BA,Boeing Company,Industrials,Large Cap
BKNG,Booking Holdings Inc,Consumer Discretionary,Large Cap
BWA,BorgWarner,Consumer Discretionary,Large Cap
BXP,Boston Properties,Real Estate,Large Cap
BSX,Boston Scientific,Health Care,Large Cap
BMY,Bristol-Myers Squibb,Health Care,Large Cap
AVGO,Broadcom Inc.,Information Technology,Large Cap
BR,Broadridge Financial Solutions,Information Technology,Large Cap
BF.B,Brown-Forman Corp.,Consumer Staples,Large Cap
CHRW,C. H. Robinson Worldwide,Industrials,Large Cap
COG,Cabot Oil & Gas,Energy,Large Cap
CDNS,Cadence Design Systems,Information Technology,Large Cap
CZR,Caesars Entertainment,Consumer Discretionary,Large Cap
CPB,Campbell Soup,Consumer Staples,Large Cap
COF,Capital One Financial,Financials,Large Cap
CAH,Cardinal Health Inc.,Health Care,Large Cap
KMX,Carmax Inc,Consumer Discretionary,Large Cap
CCL,Carnival Corp.,Consumer Discretionary,Large Cap
CARR,Carrier Global,Industrials,Large Cap
CTLT,Catalent,Health Care,Large Cap
CAT,Caterpillar Inc.,Industrials,Large Cap
CBOE,Cboe Global Markets,Financials,Large Cap
CBRE,CBRE Group,Real Estate,Large Cap
CDW,CDW,Information Technology,Large Cap
CE,Celanese,Materials,Large Cap
CNC,Centene Corporation,Health Care,Large Cap
CNP,CenterPoint Energy,Utilities,Large Cap
CERN,Cerner,Health Care,Large Cap
CF,CF Industries Holdings Inc,Materials,Large Cap
SCHW,Charles Schwab Corporation,Financials,Large Cap
CHTR,Charter Communications,Communication Services,Large Cap
CVX,Chevron Corp.,Energy,Large Cap
CMG,Chipotle Mexican Grill,Consumer Discretionary,Large Cap
CB,Chubb Limited,Financials,Large Cap
CHD,Church & Dwight,Consumer Staples,Large Cap
CI,Cigna,Health Care,Large Cap
CINF,Cincinnati Financial,Financials,Large Cap
CTAS,Cintas Corporation,Industrials,Large Cap
CSCO,Cisco Systems,Information Technology,Large Cap
C,Citigroup Inc.,Financials,Large Cap
CFG,Citizens Financial Group,Financials,Large Cap
CTXS,Citrix Systems,Information Technology,Large Cap
CME,CME Group Inc.,Financials,Large Cap
CMS,CMS Energy,Utilities,Large Cap
KO,Coca-Cola Company,Consumer Staples,Large Cap
CTSH,Cognizant Technology Solutions,Information Technology,Large Cap
CL,Colgate-Palmolive,Consumer Staples,Large Cap
CMCSA,Comcast Corp.,Communication Services,Large Cap
CMA,Comerica Inc.,Financials,Large Cap
CAG,Conagra Brands,Consumer Staples,Large Cap
COP,ConocoPhillips,Energy,Large Cap
ED,Consolidated Edison,Utilities,Large Cap
STZ,Constellation Brands,Consumer Staples,Large Cap
CPRT,Copart Inc,Industrials,Large Cap
GLW,Corning Inc.,Information Technology,Large Cap
CTVA,Corteva,Materials,Large Cap
COST,Costco Wholesale Corp.,Consumer Staples,Large Cap
CCI,Crown Castle,Real Estate,Large Cap
CSX,CSX Corp.,Industrials,Large Cap
CMI,Cummins Inc.,Industrials,Large Cap
CVS,CVS Health,Health Care,Large Cap
DHI,D. R. Horton,Consumer Discretionary,Large Cap
DHR,Danaher Corp.,Health Care,Large Cap
DRI,Darden Restaurants,Consumer Discretionary,Large Cap
DVA,DaVita Inc.,Health Care,Large Cap
DE,Deere & Co.,Industrials,Large Cap
DAL,Delta Air Lines Inc.,Industrials,Large Cap
XRAY,Dentsply Sirona,Health Care,Large Cap
DVN,Devon Energy,Energy,Large Cap
DXCM,DexCom,Health Care,Large Cap
FANG,Diamondback Energy,Energy,Large Cap
DLR,Digital Realty Trust Inc,Real Estate,Large Cap
DFS,Discover Financial Services,Financials,Large Cap
DISCA,Discovery Inc. (Series A),Communication Services,Large Cap
DISCK,Discovery Inc. (Series C),Communication Services,Large Cap
DISH,Dish Network,Communication Services,Large Cap
DG,Dollar General,Consumer Discretionary,Large Cap
DLTR,Dollar Tree,Consumer Discretionary,Large Cap
D,Dominion Energy,Utilities,Large Cap
DPZ,Domino's Pizza,Consumer Discretionary,Large Cap
DOV,Dover Corporation,Industrials,Large Cap
DOW,Dow Inc.,Materials,Large Cap
DTE,DTE Energy Co.,Utilities,Large Cap
DUK,Duke Energy,Utilities,Large Cap
DRE,Duke Realty Corp,Real Estate,Large Cap
DD,DuPont de Nemours Inc,Materials,Large Cap
DXC,DXC Technology,Information Technology,Large Cap
EMN,Eastman Chemical,Materials,Large Cap
ETN,Eaton Corporation,Industrials,Large Cap
EBAY,eBay Inc.,Consumer Discretionary,Large Cap
ECL,Ecolab Inc.,Materials,Large Cap
EIX,Edison Int'l,Utilities,Large Cap
EW,Edwards Lifesciences,Health Care,Large Cap
EA,Electronic Arts,Communication Services,Large Cap
EMR,Emerson Electric Company,Industrials,Large Cap
ENPH,Enphase Energy,Information Technology,Large Cap
ETR,Entergy Corp.,Utilities,Large Cap
EOG,EOG Resources,Energy,Large Cap
EFX,Equifax Inc.,Industrials,Large Cap
EQIX,Equinix,Real Estate,Large Cap
EQR,Equity Residential,Real Estate,Large Cap
ESS,Essex Property Trust Inc.,Real Estate,Large Cap
EL,Estée Lauder Companies,Consumer Staples,Large Cap
ETSY,Etsy,Consumer Discretionary,Large Cap
RE,Everest Re Group Ltd.,Financials,Large Cap
EVRG,Evergy,Utilities,Large Cap
ES,Eversource Energy,Utilities,Large Cap
EXC,Exelon Corp.,Utilities,Large Cap
EXPE,Expedia Group,Consumer Discretionary,Large Cap
EXPD,Expeditors,Industrials,Large Cap
EXR,Extra Space Storage,Real Estate,Large Cap
XOM,Exxon Mobil Corp.,Energy,Large Cap
FFIV,F5 Networks,Information Technology,Large Cap
FB,Facebook Inc.,Communication Services,Large Cap
FAST,Fastenal Co,Industrials,Large Cap
FRT,Federal Realty Investment Trust,Real Estate,Large Cap
FDX,FedEx Corporation,Industrials,Large Cap
FIS,Fidelity National Information Services,Information Technology,Large Cap
FITB,Fifth Third Bancorp,Financials,Large Cap
FRC,First Republic Bank,Financials,Large Cap
FE,FirstEnergy Corp,Utilities,Large Cap
FISV,Fiserv Inc,Information Technology,Large Cap
FLT,FleetCor Technologies Inc,Information Technology,Large Cap
FLIR,FLIR Systems,Information Technology,Large Cap
FMC,FMC Corporation,Materials,Large Cap
F,Ford Motor Company,Consumer Discretionary,Large Cap
FTNT,Fortinet,Information Technology,Large Cap
FTV,Fortive Corp,Industrials,Large Cap
FBHS,Fortune Brands Home & Security,Industrials,Large Cap
