Symbol,Name,Sector,Market Cap
ACHC,Acadia Healthcare,Health Care,Mid Cap
ACIW,ACI Worldwide,Information Technology,Mid Cap
AYI,Acuity Brands,Industrials,Mid Cap
ADNT,Adient plc,Consumer Discretionary,Mid Cap
ATGE,Adtalem Global Education,Consumer Discretionary,Mid Cap
ACM,AECOM,Industrials,Mid Cap
AMG,Affiliated Managers Group,Financials,Mid Cap
AGCO,AGCO,Industrials,Mid Cap
Y,Alleghany Corporation,Financials,Mid Cap
ALE,ALLETE Inc.,Utilities,Mid Cap
ADS,Alliance Data Systems Corp,Information Technology,Mid Cap
AMED,Amedisys,Health Care,Mid Cap
ACC,American Campus Communities,Real Estate,Mid Cap
AEO,American Eagle Outfitters,Consumer Discretionary,Mid Cap
AFG,American Financial Group,Financials,Mid Cap
AMKR,Amkor Technology,Information Technology,Mid Cap
AM,Antero Midstream,Energy,Mid Cap
AIRC,Apartment Income REIT Corp.,Real Estate,Mid Cap
ATR,AptarGroup,Materials,Mid Cap
ARW,Arrow Electronics,Information Technology,Mid Cap
ARWR,Arrowhead Pharmaceuticals,Health Care,Mid Cap
ASGN,ASGN,Industrials,Mid Cap
ASH,Ashland Inc.,Materials,Mid Cap
ASB,Associated Banc-Corp,Financials,Mid Cap
AN,AutoNation,Consumer Discretionary,Mid Cap
AVNS,Avanos Medical Inc.,Health Care,Mid Cap
AVNT,Avient Corporation,Materials,Mid Cap
CAR,Avis Budget Group,Industrials,Mid Cap
AVT,Avnet,Information Technology,Mid Cap
AXON,Axon Enterprise,Industrials,Mid Cap
BXS,BancorpSouth,Financials,Mid Cap
BOH,Bank of Hawaii,Financials,Mid Cap
OZK,Bank OZK,Financials,Mid Cap
BDC,Belden Inc,Information Technology,Mid Cap
TECH,Bio-Techne,Health Care,Mid Cap
BJ,BJ's Wholesale Club,Consumer Staples,Mid Cap
BKH,Black Hills Corporation,Utilities,Mid Cap
BLKB,Blackbaud,Information Technology,Mid Cap
SAM,Boston Beer Company,Consumer Staples,Mid Cap
BYD,Boyd Gaming,Consumer Discretionary,Mid Cap
BHF,Brighthouse Financial,Financials,Mid Cap
BCO,Brink's Company (The),Industrials,Mid Cap
BRX,Brixmor Property Group,Real Estate,Mid Cap
BRKS,Brooks Automation,Information Technology,Mid Cap
BRO,Brown & Brown,Financials,Mid Cap
BC,Brunswick Corporation,Consumer Discretionary,Mid Cap
BLDR,Builders FirstSource,Industrials,Mid Cap
CABO,Cable One Inc,Communication Services,Mid Cap
CBT,Cabot Corp,Materials,Mid Cap
CACI,CACI International,Industrials,Mid Cap
