Symbol,Name,Sector,Market Cap
DDD,3D Systems Corporation,Information Technology,Small Cap
EGHT,8x8 Inc.,Information Technology,Small Cap
AAON,AAON Inc.,Industrials,Small Cap
AIR,AAR Corp.,Industrials,Small Cap
ANF,Abercrombie & Fitch Company,Consumer Discretionary,Small Cap
ABM,ABM Industries Inc.,Industrials,Small Cap
AKR,Acadia Realty Trust,Real Estate,Small Cap
ADUS,Addus HomeCare Corp.,Health Care,Small Cap
ADTN,Adtran Inc.,Information Technology,Small Cap
AEIS,Advanced Energy,Information Technology,Small Cap
ASIX,Advansix Inc.,Materials,Small Cap
AEGN,Aegion Corp.,Industrials,Small Cap
AJRD,Aerojet Rocketdyne Holdings,Industrials,Small Cap
AVAV,AeroVironment Inc.,Industrials,Small Cap
AGYS,Agilysys Inc.,Information Technology,Small Cap
ADC,Agree Realty Corp.,Real Estate,Small Cap
ALG,Alamo Group,Industrials,Small Cap
ALRM,Alarm.Com Inc.,Financials,Small Cap
AIN,Albany International Corp.,Industrials,Small Cap
ALEX,Alexander & Baldwin,Real Estate,Small Cap
ATI,Allegheny Technologies,Materials,Small Cap
ABTX,Allegiance Bancshares Inc.,Financials,Small Cap
ALGT,Allegiant Travel Company,Industrials,Small Cap
MDRX,Allscripts Healthcare Solutions Inc.,Health Care,Small Cap
AMBC,Ambac Financial Group,Financials,Small Cap
AMCX,AMC Networks,Consumer Discretionary,Small Cap
AAT,American Assets Trust,Real Estate,Small Cap
AXL,American Axle & Manufacturing Inc.,Consumer Discretionary,Small Cap
AEL,American Equity Investment Life Holding Co.,Financials,Small Cap
APEI,American Public Education,Consumer Discretionary,Small Cap
AWR,American States Water Company,Utilities,Small Cap
AVD,American Vanguard Corporation,Materials,Small Cap
AMWD,American Woodmark Corp.,Industrials,Small Cap
CRMT,Americas Carmart Inc.,Consumer Discretionary,Small Cap
ABCB,Ameris Bancorp,Financials,Small Cap
AMSF,Amerisafe Inc.,Financials,Small Cap
AMN,Amn Healthcare Services Inc.,Health Care,Small Cap
AMPH,Amphstar Pharmaceuticals Inc.,Health Care,Small Cap
ANGO,Angiodynamics Inc.,Health Care,Small Cap
ANIP,ANI Pharmaceuticals Inc.,Health Care,Small Cap
ANIK,Anika Therapeutics,Health Care,Small Cap
APOG,Apogee Enterprises Inc.,Industrials,Small Cap
ARI,Apollo Commercial Real Estate Finance,Real Estate,Small Cap
AIT,Applied Industrial Technologies,Industrials,Small Cap
AAOI,Applied Optoelectronics,Information Technology,Small Cap
ARCB,Arcbest Corp.,Industrials,Small Cap
AROC,Archrock Inc.,Energy,Small Cap
ARNC,Arconic Corp.,Materials,Small Cap
ACA,Arcosa Inc.,Industrials,Small Cap
ARLO,Arlo Technologies,Information Technology,Small Cap
AHH,Armada Hoffler Properties Inc.,Real Estate,Small Cap
ARR,Armour Residential REIT,Real Estate,Small Cap
ABG,Asbury Automotive Group,Consumer Discretionary,Small Cap
AGO,Assured Guaranty Ltd.,Financials,Small Cap
ASTE,Astec Industries Inc.,Industrials,Small Cap
AAWW,Atlas Air Worldwide Holdings,Industrials,Small Cap
ATNI,ATN International Inc.,Communication Services,Small Cap
AVA,Avista Corporation,Utilities,Small Cap
ACLS,Axcelis Technologies Inc.,Information Technology,Small Cap
AX,Axos Financial Inc.,Financials,Small Cap
AZZ,AZZ Inc.,Industrials,Small Cap
BGS,B&G Foods Inc.,Consumer Staples,Small Cap
RILY,B. Riley Financial,Financials,Small Cap
BMI,Badger Meter Inc.,Information Technology,Small Cap
BCPC,Balchem Corporation,Materials,Small Cap
BANC,Banc Of California Inc.,Financials,Small Cap
BANF,Bancfirst Corp,Financials,Small Cap
BKU,BankUnited Inc.,Financials,Small Cap
BANR,Banner Corporation,Financials,Small Cap
BNED,Barnes & Noble Education Inc.,Consumer Discretionary,Small Cap
B,Barnes Group Inc.,Industrials,Small Cap
BBBY,Bed Bath & Beyond,Consumer Discretionary,Small Cap
BELFB,Bel Fuse Inc.,Information Technology,Small Cap
BHE,Benchmark Electronics Inc.,Information Technology,Small Cap
BHLB,Berkshire Hills Bancorp Inc.,Financials,Small Cap
BIG,Big Lots,Consumer Discretionary,Small Cap
BJRI,BJ's Restaurants Inc.,Consumer Discretionary,Small Cap
BLMN,Bloomin' Brands Inc.,Consumer Discretionary,Small Cap
BCOR,Blucora Inc.,Financials,Small Cap
BCC,Boise Cascade Company,Industrials,Small Cap
BCEI,Bonanza Creek Energy Inc,Energy,Small Cap
BOOT,Boot Barn Holdings Inc.,Consumer Discretionary,Small Cap
BPFH,Boston Private Financial Holdings Inc.,Financials,Small Cap
EPAY,Bottomline Technologies (de) Inc.,Information Technology,Small Cap
BRC,Brady Corporation,Industrials,Small Cap
BDN,Brandywine Realty Trust,Real Estate,Small Cap
BSIG,BrightSphere Investment Group Inc.,Financials,Small Cap
EAT,Brinker International Inc.,Consumer Discretionary,Small Cap
VTOL,Bristow Group Inc.,Energy,Small Cap
BRKL,Brookline Bancorp Inc.,Financials,Small Cap
CADE,Cadence Bancorporation,Financials,Small Cap
CALM,Cal-Maine Foods Inc.,Consumer Staples,Small Cap
CAMP,CalAmp Corp.,Information Technology,Small Cap
CVGW,Calavo Growers Inc.,Consumer Staples,Small Cap
CAL,Caleres Inc.,Consumer Discretionary,Small Cap
CWT,California Water Service Group,Utilities,Small Cap
ELY,Callaway Golf Company,Consumer Discretionary,Small Cap
CPE,Callon Petroleum,Energy,Small Cap
CFFN,Capitol Federal Savings Bank,Financials,Small Cap
CMO,Capstead Mortgage Corporation,Real Estate,Small Cap
CARA,Cara Therapeutics,Health Care,Small Cap
CSII,Cardiovascular Systems Inc,Health Care,Small Cap
CATM,Cardtronics plc,Information Technology,Small Cap
CTRE,CareTrust REIT Inc.,Real Estate,Small Cap
CRS,Carpenter Technology,Materials,Small Cap
